,Time (s),Row x Col
3x2,2.10E-05,6
4x2,2.00E-05,8
5x2,2.90E-05,10
4x3,3.20E-05,12
6x2,3.20E-05,12
7x2,4.20E-05,14
5x3,4.30E-05,15
8x2,5.40E-05,16
6x3,5.20E-05,18
9x2,6.80E-05,18
5x4,5.60E-05,20
10x2,8.30E-05,20
7x3,6.30E-05,21
11x2,9.70E-05,22
6x4,7.20E-05,24
8x3,8.10E-05,24
12x2,0.000117,24
13x2,0.000135,26
9x3,0.0001,27
7x4,8.70E-05,28
14x2,0.000161,28
6x5,9.40E-05,30
10x3,0.00012,30
15x2,0.000182,30
8x4,0.00011,32
16x2,0.000217,32
11x3,0.00015,33
17x2,0.000254,34
7x5,0.000114,35
9x4,0.000135,36
12x3,0.000172,36
18x2,0.000279,36
19x2,0.000315,38
13x3,0.000201,39
8x5,0.000144,40
10x4,0.000164,40
20x2,0.000352,40
7x6,0.000159,42
14x3,0.000236,42
21x2,0.000394,42
11x4,0.000194,44
22x2,0.000442,44
9x5,0.000175,45
15x3,0.000273,45
23x2,0.00049,46
8x6,0.000183,48
12x4,0.000232,48
16x3,0.000329,48
24x2,0.000539,48
10x5,0.000209,50
25x2,0.000595,50
17x3,0.000366,51
13x4,0.00027,52
26x2,0.000656,52
9x6,0.00022,54
18x3,0.000416,54
27x2,0.000725,54
11x5,0.000249,55
8x7,0.000232,56
14x4,0.000314,56
28x2,0.000794,56
19x3,0.000468,57
29x2,0.000856,58
10x6,0.000272,60
12x5,0.000312,60
15x4,0.000364,60
20x3,0.000535,60
30x2,0.001004,60
31x2,0.001018,62
9x7,0.000273,63
21x3,0.000587,63
16x4,0.000431,64
32x2,0.001088,64
13x5,0.000343,65
11x6,0.000308,66
22x3,0.000654,66
33x2,0.001184,66
17x4,0.000487,68
34x2,0.001321,68
23x3,0.000727,69
10x7,0.000321,70
14x5,0.0004,70
35x2,0.00144,70
9x8,0.000338,72
12x6,0.000362,72
18x4,0.000568,72
24x3,0.000812,72
36x2,0.001523,72
37x2,0.00161,74
15x5,0.00046,75
25x3,0.000921,75
19x4,0.000645,76
38x2,0.001732,76
11x7,0.000375,77
13x6,0.000422,78
26x3,0.000994,78
39x2,0.002039,78
10x8,0.000393,80
16x5,0.000535,80
20x4,0.000702,80
40x2,0.00215,80
27x3,0.001089,81
41x2,0.002046,82
12x7,0.000438,84
14x6,0.000488,84
21x4,0.000794,84
28x3,0.001215,84
42x2,0.002201,84
17x5,0.000642,85
43x2,0.002329,86
29x3,0.001272,87
11x8,0.000473,88
22x4,0.000873,88
44x2,0.002561,88
10x9,0.000479,90
15x6,0.000566,90
18x5,0.000704,90
30x3,0.001403,90
45x2,0.002708,90
13x7,0.000508,91
23x4,0.000978,92
46x2,0.002771,92
31x3,0.001502,93
47x2,0.002957,94
19x5,0.000804,95
12x8,0.000529,96
16x6,0.000674,96
24x4,0.001086,96
32x3,0.001657,96
48x2,0.003129,96
14x7,0.000587,98
49x2,0.003322,98
11x9,0.000551,99
33x3,0.001874,99
20x5,0.000878,100
25x4,0.001172,100
50x2,0.003449,100
17x6,0.000746,102
34x3,0.001907,102
51x2,0.003661,102
13x8,0.000609,104
26x4,0.001302,104
52x2,0.003843,104
15x7,0.00067,105
21x5,0.00098,105
35x3,0.002125,105
53x2,0.004041,106
12x9,0.000657,108
18x6,0.000846,108
27x4,0.001452,108
36x3,0.00228,108
54x2,0.004199,108
11x10,0.000763,110
22x5,0.001092,110
55x2,0.00444,110
37x3,0.002359,111
14x8,0.000699,112
16x7,0.000789,112
28x4,0.001577,112
56x2,0.004709,112
19x6,0.000962,114
38x3,0.002539,114
57x2,0.00488,114
23x5,0.001222,115
29x4,0.001703,116
58x2,0.005168,116
13x9,0.000719,117
39x3,0.002707,117
59x2,0.005529,118
17x7,0.000894,119
12x10,0.000746,120
15x8,0.000807,120
20x6,0.001066,120
24x5,0.001348,120
30x4,0.00184,120
40x3,0.002919,120
60x2,0.005557,120
61x2,0.00584,122
41x3,0.003044,123
31x4,0.001998,124
62x2,0.006271,124
25x5,0.00153,125
14x9,0.000818,126
18x7,0.00101,126
21x6,0.001204,126
42x3,0.003326,126
63x2,0.006435,126
16x8,0.000919,128
32x4,0.002168,128
64x2,0.006652,128
43x3,0.003553,129
13x10,0.000863,130
26x5,0.001663,130
65x2,0.00708,130
12x11,0.000875,132
22x6,0.001328,132
33x4,0.002343,132
44x3,0.003826,132
66x2,0.007246,132
19x7,0.001125,133
67x2,0.007571,134
15x9,0.00093,135
27x5,0.001782,135
45x3,0.003902,135
17x8,0.00106,136
34x4,0.002584,136
68x2,0.007802,136
23x6,0.001519,138
46x3,0.004114,138
69x2,0.008301,138
14x10,0.000956,140
20x7,0.001258,140
28x5,0.001967,140
35x4,0.002741,140
70x2,0.008523,140
47x3,0.004588,141
71x2,0.008806,142
13x11,0.000993,143
16x9,0.001095,144
18x8,0.001172,144
24x6,0.001617,144
36x4,0.002926,144
48x3,0.004611,144
72x2,0.0092,144
29x5,0.002143,145
73x2,0.00969,146
21x7,0.001413,147
49x3,0.004874,147
37x4,0.003224,148
74x2,0.009932,148
15x10,0.001081,150
25x6,0.001778,150
30x5,0.002301,150
50x3,0.005144,150
75x2,0.010244,150
19x8,0.001394,152
38x4,0.003406,152
76x2,0.011119,152
17x9,0.001205,153
51x3,0.005626,153
